timeslot_id,day,start_time,end_time
1,Monday,08:00:00,11:00:00
2,Monday,11:00:00,14:00:00
3,Monday,14:00:00,17:00:00
4,Tuesday,08:00:00,11:00:00
5,Tuesday,11:00:00,14:00:00
6,Tuesday,14:00:00,17:00:00
7,Wednesday,08:00:00,11:00:00
8,Wednesday,11:00:00,14:00:00
9,Wednesday,14:00:00,17:00:00
10,Thursday,08:00:00,11:00:00
11,Thursday,11:00:00,14:00:00
12,Thursday,14:00:00,17:00:00
13,Friday,08:00:00,11:00:00
14,Friday,11:00:00,14:00:00
15,Friday,14:00:00,17:00:00
16,Monday,17:00:00,20:00:00
17,Tuesday,17:00:00,20:00:00
18,Wednesday,17:00:00,20:00:00
19,Thursday,17:00:00,20:00:00
20,Friday,17:00:00,20:00:00